Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-16,10.0,10.0,10.0,10.0,3500,0,0
2019-10-22,10.0,10.0,10.0,10.0,0,0,0
2019-11-06,10.0,10.0,10.0,10.0,0,0,0
2019-11-12,10.0,10.0,10.0,10.0,0,0,0
2019-11-14,10.0,10.0,10.0,10.0,0,0,0
2019-11-15,10.0,10.0,10.0,10.0,0,0,0
2019-11-27,10.0,10.0,10.0,10.0,0,0,0
2019-12-03,10.0,10.0,10.0,10.0,0,0,0
2019-12-04,10.0,10.0,10.0,10.0,0,0,0
2019-12-09,10.0,10.0,10.0,10.0,0,0,0
2019-12-11,10.0,10.0,10.0,10.0,0,0,0
2019-12-12,10.0,10.0,10.0,10.0,0,0,0
2019-12-19,10.0,10.0,10.0,10.0,0,0,0
2019-12-20,10.0,10.0,10.0,10.0,0,0,0
2019-12-27,10.0,10.0,10.0,10.0,0,0,0
2020-01-03,10.0,10.0,10.0,10.0,0,0,0
2020-01-06,10.0,10.0,10.0,10.0,0,0,0
2020-01-07,10.0,10.0,10.0,10.0,0,0,0
2020-01-08,10.0,10.0,10.0,10.0,0,0,0
2020-01-09,10.0,10.0,10.0,10.0,0,0,0
2020-01-10,10.0,10.0,10.0,10.0,0,0,0
2020-01-13,10.0,10.0,10.0,10.0,0,0,0
2020-01-14,10.0,10.0,10.0,10.0,0,0,0
2020-01-15,10.0,10.0,10.0,10.0,0,0,0
2020-01-16,10.0,10.0,10.0,10.0,0,0,0
2020-01-17,10.0,10.0,10.0,10.0,0,0,0
2020-01-21,10.0,10.0,10.0,10.0,0,0,0
2020-01-22,10.0,10.0,10.0,10.0,0,0,0
2020-01-23,10.0,10.0,10.0,10.0,0,0,0
2020-01-24,10.0,10.0,10.0,10.0,0,0,0
2020-01-27,10.0,10.0,10.0,10.0,0,0,0
2020-01-28,10.0,10.0,10.0,10.0,0,0,0
2020-01-29,10.0,10.0,10.0,10.0,0,0,0
2020-01-30,10.0,10.0,10.0,10.0,0,0,0
2020-01-31,10.0,10.0,10.0,10.0,0,0,0
2020-02-03,10.0,10.0,10.0,10.0,0,0,0
2020-02-04,10.0,10.0,10.0,10.0,0,0,0
2020-02-05,10.0,10.0,10.0,10.0,0,0,0
2020-02-06,10.0,10.0,10.0,10.0,0,0,0
2020-02-07,10.0,10.0,10.0,10.0,0,0,0
2020-02-10,10.0,10.0,10.0,10.0,0,0,0
2020-02-11,10.0,10.0,10.0,10.0,0,0,0
2020-02-12,10.0,10.0,10.0,10.0,0,0,0
2020-02-13,10.0,10.0,10.0,10.0,0,0,0
2020-02-14,10.0,10.0,10.0,10.0,0,0,0
2020-02-18,10.0,10.0,10.0,10.0,0,0,0
2020-02-19,10.0,10.0,10.0,10.0,0,0,0
2020-02-20,10.0,10.0,10.0,10.0,0,0,0
2020-02-21,10.0,10.0,10.0,10.0,0,0,0
2020-02-24,10.0,10.0,10.0,10.0,0,0,0
2020-02-25,10.0,10.0,10.0,10.0,0,0,0
2020-02-26,10.0,10.0,10.0,10.0,0,0,0
2020-02-27,10.0,10.0,10.0,10.0,0,0,0
2020-02-28,10.0,10.0,10.0,10.0,0,0,0
2020-03-02,10.0,10.0,10.0,10.0,0,0,0
2020-03-03,10.0,10.0,10.0,10.0,0,0,0
2020-03-04,10.0,10.0,10.0,10.0,0,0,0
