Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-03-19,67.0,67.0,67.0,67.0,0,0,0
2007-03-20,69.0,69.0,69.0,69.0,0,0,0
2007-03-21,70.5,70.5,70.5,70.5,0,0,0
2007-03-22,72.0,72.0,72.0,72.0,2,0,0
2007-03-23,72.0,72.0,72.0,72.0,0,0,0
2007-03-26,72.0,72.0,72.0,72.0,0,0,0
2007-03-27,72.0,72.0,72.0,72.0,0,0,0
2007-03-28,72.0,72.0,72.0,72.0,0,0,0
2007-03-29,72.0,72.0,72.0,72.0,0,0,0
2007-03-30,72.0,72.0,72.0,72.0,0,0,0
2007-04-02,72.0,72.0,72.0,72.0,0,0,0
2007-04-03,72.0,72.0,72.0,72.0,0,0,0
2007-04-04,72.0,72.0,72.0,72.0,0,0,0
2007-04-05,74.0,74.0,74.0,74.0,1,0,0
2007-04-09,75.0,75.0,75.0,75.0,3,0,0
2007-04-10,75.0,75.0,75.0,75.0,1,0,0
2007-04-11,75.0,75.0,75.0,75.0,0,0,0
2007-04-12,75.0,75.0,75.0,75.0,0,0,0
2007-04-13,77.0,77.0,77.0,77.0,0,0,0
2007-04-16,77.0,77.0,77.0,77.0,0,0,0
2007-04-17,77.0,77.0,77.0,77.0,0,0,0
2007-04-18,77.0,77.0,77.0,77.0,0,0,0
2007-04-19,77.0,77.0,77.0,77.0,0,0,0
2007-04-20,77.0,77.0,77.0,77.0,0,0,0
2007-04-23,77.0,77.0,77.0,77.0,0,0,0
2007-04-24,77.0,77.0,77.0,77.0,0,0,0
2007-04-25,77.0,77.0,77.0,77.0,0,0,0
2007-04-26,77.0,77.0,77.0,77.0,0,0,0
2007-04-27,77.0,77.0,77.0,77.0,0,0,0
2007-04-30,77.5,77.5,77.5,77.5,0,0,0
2007-05-04,79.0,79.0,78.5,78.5,6,0,0
2007-05-07,77.0,77.0,77.0,77.0,5,0,0
2007-05-08,77.0,77.0,77.0,77.0,0,0,0
2007-05-09,77.0,77.0,77.0,77.0,1,0,0
2007-05-10,77.0,77.0,77.0,77.0,0,0,0
2007-05-11,77.0,77.0,77.0,77.0,0,0,0
2007-05-14,77.0,77.0,77.0,77.0,0,0,0
2007-05-15,77.0,77.0,77.0,77.0,0,0,0
2007-05-16,77.0,77.0,77.0,77.0,0,0,0
2007-05-17,77.0,77.0,77.0,77.0,0,0,0
2007-05-18,77.0,77.0,77.0,77.0,0,0,0
