Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-05,1745.0,1745.0,1745.0,1745.0,280,0,0
2021-02-08,1669.75,1793.25,1604.25,1751.75,303,0,0
2021-02-09,1775.75,1858.75,1748.75,1797.25,201,0,0
2021-02-10,1787.5,1869.5,1700.0,1728.5,288,0,0
2021-02-11,1774.0,1839.75,1728.0,1778.0,351,0,0
2021-02-12,1793.75,1879.75,1763.0,1868.25,335,0,0
2021-02-16,1868.25,1868.25,1674.5,1756.5,654,0,0
2021-02-17,1770.25,1866.5,1740.0,1840.25,364,0,0
2021-02-18,1840.75,1960.25,1840.25,1943.25,779,0,0
2021-02-19,1943.5,1981.5,1897.75,1960.75,615,0,0
2021-02-22,1967.0,1967.0,1567.25,1774.0,960,0,0
2021-02-23,1779.75,1779.75,1371.0,1527.25,1250,0,0
2021-02-24,1556.0,1711.0,1513.75,1611.5,532,0,0
2021-02-25,1593.5,1662.5,1528.0,1576.25,401,0,0
2021-02-26,1500.0,1539.0,1415.0,1520.6600341796875,597,0,0
2021-03-01,1436.75,1570.5,1413.5,1526.0,466,0,0
2021-03-02,1560.0,1610.75,1472.0,1479.25,453,0,0
2021-03-03,1483.25,1669.5,1483.25,1588.5,594,0,0
2021-03-04,1596.25,1638.0,1512.75,1536.75,526,0,0
2021-03-05,1529.5,1554.25,1446.75,1541.5,448,0,0
2021-03-08,1613.5,1807.0,1613.5,1786.25,684,0,0
2021-03-09,1811.25,1872.0,1811.25,1846.5,389,0,0
2021-03-10,1846.5,1893.75,1768.75,1818.0,993,0,0
2021-03-11,1840.0,1859.5,1735.5,1824.0,522,0,0
2021-03-12,1853.0,1857.75,1729.75,1751.0,495,0,0
2021-03-15,1862.0,1911.75,1743.5,1794.25,734,0,0
2021-03-16,1808.0,1825.0,1722.5,1795.75,506,0,0
2021-03-17,1800.25,1848.75,1748.5,1836.5,377,0,0
2021-03-18,1835.25,1859.0,1762.75,1774.0,533,0,0
2021-03-19,1784.75,1843.0,1733.0,1831.75,429,0,0
2021-03-22,1810.0,1813.5,1674.5,1741.5,701,0,0
2021-03-23,1670.5,1722.75,1648.75,1706.5,994,0,0
2021-03-24,1664.0,1743.75,1585.5,1635.5,562,0,0
2021-03-25,1584.0,1621.75,1552.5,1607.5,453,0,0
2021-03-26,1606.0,1650.0,1579.25,1641.02001953125,374,0,0
2021-03-29,1699.0,1863.75,1695.75,1835.25,815,0,0
2021-03-30,1831.5,1876.0,1805.75,1876.0,502,0,0
2021-03-31,1863.25,1966.75,1798.75,1926.25,1336,0,0
2021-04-01,1957.25,2010.75,1908.5,2002.0,843,0,0
2021-04-05,2092.5,2158.5,2028.25,2130.0,732,0,0
2021-04-06,2137.5,2185.5,2067.25,2135.25,766,0,0
2021-04-07,2130.75,2151.0,1945.0,1989.25,2118,0,0
2021-04-08,2007.75,2094.75,1960.0,2072.5,563,0,0
2021-04-09,2067.75,2122.25,2065.25,2092.0,452,0,0
2021-04-12,2146.0,2230.25,2128.25,2166.5,881,0,0
2021-04-13,2169.5,2345.0,2163.5,2327.0,987,0,0
2021-04-14,2318.5,2434.75,2300.0,2346.75,1369,0,0
2021-04-15,2411.75,2527.5,2411.75,2505.0,1510,0,0
2021-04-16,2524.75,2572.75,2317.0,2449.0,2094,0,0
2021-04-19,2287.5,2292.5,2091.5,2194.75,2618,0,0
2021-04-20,2212.25,2339.5,2062.75,2333.0,2196,0,0
2021-04-21,2319.25,2480.5,2245.5,2446.25,2043,0,0
2021-04-22,2394.5,2654.5,2322.0,2539.0,4479,0,0
2021-04-23,2420.0,2450.25,2121.25,2373.5,4152,0,0
2021-04-26,2221.75,2541.5,2215.0,2500.0,2865,0,0
2021-04-27,2497.0,2692.5,2493.5,2635.0,2080,0,0
2021-04-28,2650.0,2751.0,2572.0,2742.5,2911,0,0
2021-04-29,2725.75,2803.75,2676.75,2728.5,2315,0,0
2021-04-30,2733.5,2798.75,2731.25,2751.530029296875,2338,0,0
2021-05-03,3000.0,3379.0,2964.25,3326.0,3431,0,0
2021-05-04,3360.0,3552.0,3186.0,3438.25,6174,0,0
2021-05-05,3375.25,3515.5,3240.0,3507.25,3205,0,0
2021-05-06,3462.5,3642.25,3405.75,3508.25,3780,0,0
2021-05-07,3550.0,3623.25,3382.0,3543.5,2794,0,0
2021-05-10,3932.5,4240.25,3712.75,4009.0,6312,0,0
2021-05-11,4012.5,4159.5,3795.5,4091.25,4410,0,0
2021-05-12,4152.75,4406.5,3944.25,4093.5,7068,0,0
2021-05-13,4135.0,4260.0,3555.0,3660.75,10378,0,0
2021-05-14,3739.75,4196.75,3620.0,4068.25,2402,0,0
2021-05-17,3505.0,3612.25,3138.0,3395.5,5807,0,0
2021-05-18,3310.0,3578.5,3200.5,3410.25,4614,0,0
2021-05-19,3418.0,3451.25,2387.25,2621.5,10542,0,0
2021-05-20,2558.0,2999.75,2157.0,2820.75,6109,0,0
2021-05-21,2842.0,2957.25,2253.0,2370.5,4997,0,0
2021-05-24,2158.0,2675.0,2062.0,2654.5,5933,0,0
2021-05-25,2630.0,2758.0,2395.25,2514.0,4384,0,0
2021-05-26,2560.5,2920.0,2560.5,2743.5,3519,0,0
2021-05-27,2808.0,2900.0,2646.5,2763.25,2599,0,0
2021-05-28,2762.5,2794.5,2430.5,2565.919921875,2923,0,0
2021-06-01,2493.75,2760.0,2291.0,2559.75,5040,0,0
2021-06-02,2598.25,2823.5,2565.75,2772.75,2858,0,0
2021-06-03,2742.5,2911.5,2675.5,2809.0,2302,0,0
2021-06-04,2839.75,2890.0,2564.25,2701.75,3243,0,0
2021-06-07,2738.0,2867.0,2641.5,2740.75,2353,0,0
2021-06-08,2625.0,2651.0,2317.0,2513.5,3907,0,0
2021-06-09,2535.0,2642.5,2415.5,2572.75,3105,0,0
2021-06-10,2589.25,2637.5,2430.0,2460.5,2256,0,0
2021-06-11,2487.0,2499.0,2370.75,2405.25,1562,0,0
2021-06-14,2510.0,2613.75,2466.75,2544.0,1893,0,0
2021-06-15,2579.25,2645.75,2518.0,2538.5,1352,0,0
2021-06-16,2550.0,2571.25,2379.5,2419.25,1539,0,0
2021-06-17,2415.0,2464.75,2306.0,2340.75,2038,0,0
2021-06-18,2338.0,2379.5,2137.5,2155.5,2210,0,0
2021-06-21,2250.0,2265.0,1891.5,1943.25,4289,0,0
2021-06-22,1895.0,1996.5,1697.75,1902.25,4724,0,0
2021-06-23,1880.0,2043.75,1822.75,1920.0,2373,0,0
2021-06-24,1934.5,2036.75,1886.0,2011.25,2227,0,0
2021-06-25,1996.0,2015.0,1835.75,1850.1500244140625,2996,0,0
2021-06-28,1843.0,2156.5,1836.5,2125.25,2493,0,0
2021-06-29,2130.75,2259.5,2074.75,2233.75,1920,0,0
2021-06-30,2222.0,2293.0,2101.5,2258.25,1484,0,0
2021-07-01,2273.25,2291.25,2081.0,2109.0,1829,0,0
2021-07-02,2144.0,2150.75,2028.75,2108.0,1487,0,0
2021-07-06,2301.5,2395.5,2190.75,2336.0,4384,0,0
2021-07-07,2304.0,2420.75,2294.75,2376.25,2013,0,0
2021-07-08,2362.0,2362.0,2131.5,2162.25,2868,0,0
2021-07-09,2110.0,2195.0,2048.75,2135.0,2135,0,0
2021-07-12,2174.25,2184.0,2009.25,2023.0,1305,0,0
2021-07-13,2030.75,2051.25,1918.75,1922.5,1618,0,0
2021-07-14,1941.75,2024.75,1860.0,1979.25,1919,0,0
2021-07-15,2002.25,2043.75,1878.5,1918.5,1946,0,0
2021-07-16,1926.5,1968.0,1849.25,1914.25,1672,0,0
2021-07-19,1911.0,1924.5,1801.5,1824.0,1728,0,0
2021-07-20,1815.25,1843.0,1715.0,1788.75,3081,0,0
2021-07-21,1784.75,2042.75,1755.0,1940.75,5292,0,0
2021-07-22,1957.0,2046.25,1947.5,2028.75,3457,0,0
2021-07-23,1997.5,2095.0,1994.5,2024.75,2298,0,0
2021-07-26,2151.0,2435.25,2151.0,2372.75,4964,0,0
2021-07-27,2232.0,2320.5,2152.0,2232.75,3758,0,0
2021-07-28,2254.0,2355.0,2248.25,2311.25,4752,0,0
2021-07-29,2305.0,2345.0,2265.0,2313.5,3321,0,0
2021-07-30,2309.5,2447.5,2307.75,2344.280029296875,2162,0,0
2021-08-02,2658.0,2681.0,2518.0,2610.0,3646,0,0
2021-08-03,2619.75,2647.75,2450.0,2483.5,3101,0,0
2021-08-04,2503.0,2740.0,2466.75,2700.75,3631,0,0
2021-08-05,2730.25,2845.25,2529.5,2808.25,6665,0,0
2021-08-06,2833.0,2960.0,2730.0,2940.25,3388,0,0
2021-08-09,3036.75,3200.0,2902.0,3157.5,4758,0,0
2021-08-10,3109.0,3250.5,3059.5,3153.0,3602,0,0
2021-08-11,3180.0,3290.0,3136.0,3264.0,2477,0,0
2021-08-12,3233.0,3250.0,2986.5,3060.0,3435,0,0
2021-08-13,3056.75,3307.5,2997.0,3231.0,2839,0,0
2021-08-16,3265.25,3353.0,3138.75,3183.0,3294,0,0
2021-08-17,3180.0,3303.5,3018.0,3123.5,3632,0,0
2021-08-18,3052.5,3132.5,2953.5,3032.25,3586,0,0
2021-08-19,3013.5,3173.5,2960.0,3154.25,2678,0,0
2021-08-20,3169.5,3315.75,3159.5,3256.25,3073,0,0
2021-08-23,3178.0,3387.75,3163.25,3311.0,3238,0,0
2021-08-24,3340.25,3367.25,3144.5,3218.75,3807,0,0
2021-08-25,3215.5,3253.5,3078.5,3224.0,4296,0,0
2021-08-26,3228.25,3257.25,3054.0,3105.5,3137,0,0
2021-08-27,3122.0,3226.0,3050.75,3218.919921875,3026,0,0
2021-08-30,3263.0,3374.5,3165.25,3367.0,3711,0,0
2021-08-31,3365.5,3509.25,3205.0,3437.25,5589,0,0
2021-09-01,3416.0,3829.25,3389.0,3743.0,4734,0,0
2021-09-02,3784.25,3874.25,3749.5,3803.75,3394,0,0
2021-09-03,3840.0,4056.25,3729.5,3970.75,4493,0,0
2021-09-07,3982.75,4000.25,3179.75,3421.75,10897,0,0
2021-09-08,3377.5,3557.75,3227.75,3536.25,5906,0,0
2021-09-09,3482.5,3582.25,3404.75,3470.0,5073,0,0
2021-09-10,3465.75,3523.25,3210.0,3312.25,4506,0,0
2021-09-13,3343.75,3455.25,3110.0,3265.5,6131,0,0
2021-09-14,3287.25,3420.0,3278.0,3357.0,2160,0,0
