Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-11-05,124.453125,124.453125,124.453125,124.453125,0,0,0
2012-11-30,99.875,99.875,99.875,99.875,54,0,0
2012-12-03,100.671875,100.75,100.671875,100.75,54,0,0
2012-12-04,100.8125,100.8125,100.796875,100.796875,500,0,0
2012-12-05,100.875,100.890625,100.875,100.890625,586,0,0
2012-12-06,100.921875,100.921875,100.921875,100.921875,616,0,0
2012-12-07,100.796875,100.859375,100.796875,100.859375,702,0,0
2012-12-10,100.859375,100.890625,100.859375,100.890625,500,0,0
2012-12-11,100.78125,100.8125,100.78125,100.8125,1212,0,0
2012-12-12,100.734375,100.734375,100.6875,100.6875,473,0,0
2012-12-13,100.515625,100.578125,100.484375,100.515625,204,0,0
2012-12-14,100.515625,100.515625,100.453125,100.515625,100,0,0
2012-12-17,100.421875,100.421875,100.296875,100.296875,306,0,0
2012-12-18,100.078125,100.078125,100.078125,100.078125,250,0,0
2012-12-19,100.203125,100.203125,100.1875,100.1875,100,0,0
2012-12-20,100.1875,100.1875,100.1875,100.1875,1000,0,0
2012-12-21,100.34375,100.34375,100.265625,100.265625,419,0,0
2012-12-24,100.1875,100.1875,100.15625,100.15625,252,0,0
2012-12-26,100.1875,100.1875,100.1875,100.1875,30,0,0
2012-12-27,100.265625,100.390625,100.265625,100.390625,740,0,0
2012-12-28,100.453125,100.484375,100.453125,100.453125,445,0,0
2012-12-31,100.46875,100.484375,100.453125,100.46875,81,0,0
2013-01-02,100.296875,100.296875,100.296875,100.296875,0,0,0
2013-01-03,100.125,100.125,100.0,100.046875,403,0,0
2013-01-04,99.96875,99.984375,99.96875,99.984375,342,0,0
2013-01-07,100.078125,100.078125,100.0625,100.0625,200,0,0
2013-01-08,100.140625,100.1875,100.140625,100.1875,250,0,0
2013-01-09,100.296875,100.296875,100.296875,100.296875,0,0,0
2013-01-10,100.171875,100.171875,100.125,100.125,50,0,0
2013-01-11,100.140625,100.140625,100.125,100.125,300,0,0
2013-01-14,100.21875,100.28125,100.21875,100.21875,30,0,0
2013-01-15,100.34375,100.34375,100.34375,100.34375,0,0,0
2013-01-16,100.390625,100.390625,100.390625,100.390625,1,0,0
2013-01-17,100.21875,100.21875,100.078125,100.109375,1850,0,0
2013-01-18,100.1875,100.25,100.171875,100.203125,1279,0,0
2013-01-22,100.140625,100.3125,100.125,100.296875,402,0,0
2013-01-23,100.34375,100.34375,100.296875,100.296875,5,0,0
2013-01-24,100.359375,100.359375,100.140625,100.25,2264,0,0
2013-01-25,99.890625,99.890625,99.765625,99.765625,850,0,0
2013-01-28,99.5625,99.625,99.546875,99.625,378,0,0
2013-01-29,99.6875,99.703125,99.59375,99.625,1750,0,0
2013-01-30,99.984375,99.984375,99.578125,99.578125,153,0,0
2013-01-31,99.65625,99.65625,99.59375,99.625,1271,0,0
2013-02-01,99.921875,99.921875,99.546875,99.625,979,0,0
2013-02-04,99.78125,99.84375,99.75,99.765625,713,0,0
2013-02-05,99.625,99.625,99.59375,99.609375,650,0,0
2013-02-06,99.796875,99.828125,99.75,99.828125,855,0,0
2013-02-07,99.78125,99.984375,99.78125,99.9375,409,0,0
2013-02-08,99.984375,99.984375,99.796875,99.875,303,0,0
2013-02-11,99.78125,99.875,99.78125,99.875,1001,0,0
2013-02-12,99.75,99.78125,99.71875,99.71875,801,0,0
2013-02-13,99.609375,99.625,99.5625,99.5625,1121,0,0
2013-02-14,99.65625,99.796875,99.625,99.796875,861,0,0
2013-02-15,99.75,99.75,99.640625,99.75,1210,0,0
2013-02-19,99.75,99.765625,99.640625,99.671875,891,0,0
2013-02-20,99.640625,99.75,99.625,99.71875,2091,0,0
2013-02-21,99.828125,99.9375,99.828125,99.921875,1278,0,0
2013-02-22,99.9375,99.96875,99.921875,99.96875,2226,0,0
2013-02-25,99.96875,100.28125,99.890625,100.21875,1938,0,0
2013-02-26,100.265625,100.328125,100.21875,100.265625,540,0,0
2013-02-27,100.28125,100.296875,100.1875,100.203125,1010,0,0
2013-02-28,100.296875,100.296875,100.234375,100.25,2928,0,0
2013-03-01,100.34375,100.390625,100.34375,100.359375,252,0,0
2013-03-04,100.375,100.375,100.359375,100.359375,1184,0,0
2013-03-05,100.28125,100.28125,100.28125,100.28125,100,0,0
2013-03-06,100.171875,100.171875,100.171875,100.171875,1457,0,0
2013-03-07,100.0,100.0,99.96875,99.96875,1001,0,0
2013-03-08,99.65625,99.71875,99.65625,99.71875,251,0,0
2013-03-11,99.734375,99.734375,99.734375,99.734375,201,0,0
2013-03-12,99.875,99.875,99.875,99.875,762,0,0
2013-03-13,99.875,99.875,99.875,99.875,9,0,0
2013-03-14,99.875,99.875,99.875,99.875,0,0,0
2013-03-15,100.03125,100.046875,100.03125,100.03125,1,0,0
2013-03-18,100.09375,100.125,100.09375,100.125,1496,0,0
2013-04-01,99.75,99.875,99.75,99.875,1002,0,0
2013-04-02,99.8125,99.84375,99.796875,99.796875,874,0,0
2013-04-03,99.859375,100.046875,99.859375,100.03125,540,0,0
2013-04-04,100.078125,100.203125,100.078125,100.203125,1634,0,0
2013-04-05,100.171875,100.375,100.171875,100.359375,1740,0,0
2013-04-08,100.25,100.265625,100.203125,100.203125,160,0,0
2013-04-09,100.125,100.265625,100.125,100.21875,960,0,0
2013-04-10,100.1875,100.1875,100.078125,100.09375,1250,0,0
2013-04-11,100.078125,100.171875,100.078125,100.15625,950,0,0
2013-04-12,100.28125,100.3125,100.25,100.3125,655,0,0
2013-04-15,100.375,100.4375,100.359375,100.375,2172,0,0
2013-04-16,100.296875,100.328125,100.28125,100.296875,1282,0,0
2013-04-17,100.375,100.4375,100.34375,100.34375,1688,0,0
2013-04-18,100.328125,100.40625,100.328125,100.40625,1696,0,0
2013-04-19,100.328125,100.328125,100.328125,100.328125,297,0,0
2013-04-22,100.328125,100.4375,100.328125,100.40625,1322,0,0
2013-04-23,100.375,100.578125,100.375,100.375,801,0,0
2013-04-24,100.359375,100.4375,100.359375,100.4375,559,0,0
2013-04-25,100.390625,100.4375,100.375,100.4375,764,0,0
2013-04-26,100.5,100.5625,100.5,100.546875,689,0,0
2013-04-29,100.59375,100.59375,100.59375,100.59375,0,0,0
2013-04-30,100.65625,100.671875,100.5625,100.5625,235,0,0
2013-05-01,100.65625,100.703125,100.65625,100.671875,509,0,0
2013-05-02,100.625,100.734375,100.59375,100.71875,871,0,0
2013-05-03,100.484375,100.484375,100.296875,100.3125,661,0,0
