Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-06,1617.300048828125,1621.800048828125,1578.0,1617.5,33996,0,0
2019-05-07,1605.699951171875,1615.300048828125,1572.800048828125,1590.199951171875,19551,0,0
2019-05-08,1589.300048828125,1594.0,1576.199951171875,1581.300048828125,16252,0,0
2019-05-09,1578.300048828125,1579.5999755859375,1546.5999755859375,1572.0999755859375,29912,0,0
2019-05-10,1571.699951171875,1582.5,1545.800048828125,1578.5999755859375,30795,0,0
2019-05-13,1575.0,1577.0,1519.0,1520.0999755859375,33281,0,0
2019-05-14,1519.9000244140625,1550.699951171875,1517.300048828125,1546.0999755859375,11928,0,0
2019-05-15,1546.5,1553.0,1529.4000244140625,1551.5,23097,0,0
2019-05-16,1550.0999755859375,1570.4000244140625,1542.9000244140625,1559.9000244140625,29935,0,0
2019-05-17,1560.0,1561.5,1534.800048828125,1537.5999755859375,55177,0,0
2019-05-20,1536.5999755859375,1547.199951171875,1522.0999755859375,1526.800048828125,42847,0,0
2019-05-21,1530.0,1548.699951171875,1527.5,1546.300048828125,18963,0,0
2019-05-22,1545.0999755859375,1548.300048828125,1528.0,1533.800048828125,19774,0,0
2019-05-23,1533.9000244140625,1534.0,1493.0999755859375,1502.0999755859375,35611,0,0
2019-05-24,1503.5999755859375,1518.5,1501.800048828125,1517.699951171875,24780,0,0
2019-05-28,1516.800048828125,1523.800048828125,1502.699951171875,1505.800048828125,29172,0,0
2019-05-29,1504.300048828125,1506.300048828125,1480.5999755859375,1488.9000244140625,35624,0,0
2019-05-30,1489.5999755859375,1502.4000244140625,1476.699951171875,1486.4000244140625,26702,0,0
2019-05-31,1485.300048828125,1486.4000244140625,1459.5,1466.5,25562,0,0
2019-06-03,1461.5999755859375,1478.0999755859375,1454.4000244140625,1472.300048828125,40263,0,0
2019-06-04,1475.9000244140625,1509.0999755859375,1471.0999755859375,1506.9000244140625,28792,0,0
2019-06-05,1506.800048828125,1516.5,1492.0999755859375,1505.800048828125,27730,0,0
2019-06-06,1504.800048828125,1513.0999755859375,1488.699951171875,1502.5,26996,0,0
2019-06-07,1498.5,1521.0999755859375,1498.0,1512.5999755859375,21700,0,0
2019-06-10,1518.199951171875,1537.300048828125,1515.4000244140625,1522.5999755859375,17504,0,0
2019-06-11,1523.699951171875,1538.199951171875,1511.4000244140625,1518.0999755859375,16750,0,0
2019-06-12,1518.199951171875,1523.699951171875,1511.699951171875,1521.5999755859375,11821,0,0
2019-06-13,1523.4000244140625,1537.4000244140625,1514.800048828125,1535.699951171875,12150,0,0
2019-06-14,1534.5,1539.9000244140625,1522.199951171875,1524.699951171875,5368,0,0
2019-06-17,1526.0,1539.5999755859375,1524.4000244140625,1534.0,2594,0,0
2019-06-18,1534.4000244140625,1562.4000244140625,1529.5,1551.199951171875,1994,0,0
2019-06-19,1550.0,1557.5999755859375,1546.9000244140625,1556.199951171875,901,0,0
2019-06-20,1555.300048828125,1572.300048828125,1555.0,1563.4000244140625,906,0,0
2019-06-21,1561.300048828125,1567.699951171875,1548.0,1554.550048828125,17649,0,0
2019-06-24,1550.800048828125,1558.9000244140625,1533.5999755859375,1537.300048828125,13656,0,0
2019-06-25,1536.4000244140625,1540.5,1523.5,1525.0,19712,0,0
2019-06-26,1524.9000244140625,1535.699951171875,1520.0,1521.199951171875,14843,0,0
2019-06-27,1521.0,1552.0999755859375,1520.0,1549.800048828125,21218,0,0
2019-06-28,1549.800048828125,1575.0,1548.4000244140625,1567.0999755859375,27440,0,0
2019-07-01,1577.699951171875,1593.199951171875,1564.800048828125,1573.5999755859375,21713,0,0
2019-07-02,1574.5999755859375,1577.0,1554.699951171875,1566.300048828125,19731,0,0
2019-07-03,1565.5,1579.4000244140625,1562.5999755859375,1578.0,11974,0,0
2019-07-05,1579.300048828125,1581.5999755859375,1560.5999755859375,1579.4000244140625,19009,0,0
2019-07-08,1580.5999755859375,1581.5,1560.9000244140625,1564.699951171875,14317,0,0
2019-07-09,1561.5999755859375,1566.5999755859375,1555.5999755859375,1565.199951171875,20014,0,0
2019-07-10,1564.9000244140625,1578.0,1560.199951171875,1568.0,25632,0,0
2019-07-11,1568.5,1573.5999755859375,1553.699951171875,1559.699951171875,29885,0,0
2019-07-12,1559.199951171875,1578.5,1558.9000244140625,1572.0,22390,0,0
