Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-02-20,10485.7998046875,10790.0,10790.0,10485.7998046875,0,0,0
2004-02-23,10485.7998046875,10485.7998046875,10485.7998046875,10485.7998046875,57,0,0
2004-02-24,10665.0,10665.0,10665.0,10665.0,36,0,0
2004-02-25,10680.0,10735.0,10680.0,10735.0,737,0,0
2004-02-26,10820.0,10865.0,10785.0,10865.0,348,0,0
2004-02-27,11030.0,11110.0,11015.0,11050.0,807,0,0
2004-03-01,11330.0,11380.0,11290.0,11380.0,835,0,0
2004-03-02,11370.0,11430.0,11350.0,11390.0,356,0,0
2004-03-03,11320.0,11400.0,11280.0,11340.0,546,0,0
2004-03-04,11435.0,11490.0,11430.0,11490.0,142,0,0
2004-03-05,11520.0,11690.0,11455.0,11640.0,1000,0,0
2004-03-08,11525.0,11595.0,11445.0,11445.0,822,0,0
2004-03-09,11520.0,11530.0,11470.0,11495.0,1312,0,0
2004-03-10,11430.0,11475.0,11315.0,11315.0,1580,0,0
2004-03-11,11195.0,11195.0,11180.0,11180.0,493,0,0
2004-03-12,11104.0,11104.0,11104.0,11104.0,0,0,0
2004-03-16,11145.0,11145.0,11145.0,11145.0,0,0,0
2004-03-17,11490.0,11490.0,11490.0,11490.0,0,0,0
2004-03-18,11375.0,11375.0,11375.0,11375.0,0,0,0
2004-03-19,11255.0,11255.0,11255.0,11255.0,0,0,0
2004-03-22,11040.0,11040.0,11040.0,11040.0,0,0,0
2004-03-23,11220.0,11220.0,11220.0,11220.0,0,0,0
2004-03-24,11315.0,11315.0,11315.0,11315.0,0,0,0
2004-03-25,11655.0,11655.0,11655.0,11655.0,0,0,0
2004-03-26,11755.0,11755.0,11755.0,11755.0,0,0,0
2004-03-29,11865.0,11865.0,11865.0,11865.0,0,0,0
2004-03-30,11695.0,11695.0,11695.0,11695.0,0,0,0
2004-03-31,11685.0,11685.0,11685.0,11685.0,0,0,0
2004-04-01,11720.0,11720.0,11720.0,11720.0,0,0,0
2004-04-02,11975.0,11975.0,11975.0,11975.0,0,0,0
2004-04-05,12010.0,12010.0,12010.0,12010.0,0,0,0
2004-04-06,12025.0,12025.0,12025.0,12025.0,0,0,0
2004-04-07,11935.0,11935.0,11935.0,11935.0,0,0,0
2004-04-08,11970.0,11970.0,11970.0,11970.0,0,0,0
2004-04-12,12031.0,12031.0,12031.0,12031.0,0,0,0
2004-04-13,11990.0,11990.0,11990.0,11990.0,0,0,0
2004-04-14,12015.0,12015.0,12015.0,12015.0,0,0,0
2004-04-15,11695.0,11695.0,11695.0,11695.0,0,0,0
2004-04-16,11875.0,11875.0,11875.0,11875.0,0,0,0
2004-04-19,11710.0,11710.0,11710.0,11710.0,0,0,0
2004-04-20,11110.0,11110.0,11110.0,11820.0,0,0,0
2004-04-21,11975.0,11975.0,11975.0,11975.0,0,0,0
2004-04-22,12105.0,12105.0,12105.0,12105.0,0,0,0
2004-04-23,12075.0,12075.0,12075.0,12075.0,0,0,0
2004-04-26,12070.0,12070.0,12070.0,12070.0,0,0,0
2004-04-27,11995.0,11995.0,11995.0,11995.0,0,0,0
2004-04-28,11670.0,11670.0,11670.0,11670.0,0,0,0
2004-04-29,11575.0,11575.0,11575.0,11575.0,0,0,0
2004-04-30,11490.0,11490.0,11490.0,11490.0,0,0,0
2004-05-03,11480.0,11480.0,11480.0,11480.0,0,0,0
2004-05-04,11585.0,11585.0,11585.0,11585.0,0,0,0
