Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-02-17,10710.0,10710.0,10710.0,10710.0,0,0,0
2004-02-18,10760.0,10760.0,10760.0,10760.0,0,0,0
2004-02-19,10725.0,10725.0,10725.0,10725.0,0,0,0
2004-02-20,10790.0,10790.0,10790.0,10790.0,0,0,0
2004-02-23,10860.0,10860.0,10860.0,10860.0,0,0,0
2004-02-24,10660.0,10660.0,10660.0,10660.0,0,0,0
2004-02-25,10700.0,10780.0,10680.0,10740.0,0,0,0
2004-02-26,10820.0,10860.0,10790.0,10855.0,0,0,0
2004-02-27,11015.0,11170.0,11015.0,11080.0,0,0,0
2004-03-01,11320.0,11390.0,11290.0,11385.0,0,0,0
2004-03-02,11355.0,11425.0,11350.0,11380.0,0,0,0
2004-03-03,11400.0,11400.0,11290.0,11340.0,0,0,0
2004-03-04,11435.0,11495.0,11430.0,11495.0,0,0,0
2004-03-05,11530.0,11645.0,11460.0,11630.0,0,0,0
2004-03-08,11575.0,11580.0,11450.0,11450.0,0,0,0
2004-03-09,11540.0,11540.0,11455.0,11510.0,0,0,0
2004-03-10,11445.0,11470.0,11315.0,11315.0,0,0,0
2004-03-11,11230.0,11305.0,11170.0,11205.0,0,0,0
2004-03-12,11170.0,11290.0,11140.0,11280.0,0,0,0
2004-03-15,11240.0,11270.0,11170.0,11200.0,0,0,0
2004-03-16,11210.0,11235.0,11160.0,11215.0,0,0,0
2004-03-17,11400.0,11570.0,11400.0,11550.0,0,0,0
2004-03-18,11470.0,11470.0,11320.0,11430.0,0,0,0
2004-03-19,11400.0,11405.0,11315.0,11340.0,0,0,0
2004-03-22,11275.0,11275.0,11105.0,11115.0,0,0,0
2004-03-23,11225.0,11300.0,11175.0,11275.0,0,0,0
2004-03-24,11245.0,11390.0,11235.0,11390.0,0,0,0
2004-03-25,11515.0,11790.0,11500.0,11715.0,0,0,0
2004-03-26,11750.0,11880.0,11680.0,11830.0,0,0,0
2004-03-29,11755.0,11930.0,11755.0,11930.0,0,0,0
2004-03-30,11725.0,11780.0,11670.0,11760.0,0,0,0
2004-03-31,11745.0,11805.0,11725.0,11755.0,0,0,0
2004-04-01,11730.0,11825.0,11710.0,11790.0,0,0,0
2004-04-02,11860.0,12050.0,11860.0,12050.0,0,0,0
2004-04-05,11980.0,12100.0,11955.0,12080.0,0,0,0
2004-04-06,12060.0,12105.0,12025.0,12095.0,0,0,0
2004-04-07,12005.0,12050.0,11915.0,12000.0,0,0,0
2004-04-08,12130.0,12140.0,11995.0,12035.0,0,0,0
2004-04-12,12060.0,12205.0,12060.0,12175.0,0,0,0
2004-04-13,12180.0,12240.0,12030.0,12060.0,0,0,0
2004-04-14,12065.0,12105.0,11980.0,12080.0,0,0,0
2004-04-15,11875.0,11930.0,11730.0,11760.0,0,0,0
2004-04-16,11865.0,11940.0,11795.0,11940.0,0,0,0
2004-04-19,11745.0,11800.0,11725.0,11775.0,0,0,0
2004-04-20,11980.0,12040.0,11855.0,11880.0,0,0,0
2004-04-21,11875.0,12050.0,11875.0,12030.0,0,0,0
2004-04-22,12010.0,12190.0,11940.0,12160.0,0,0,0
2004-04-23,12110.0,12150.0,12100.0,12145.0,0,0,0
2004-04-26,12175.0,12200.0,12130.0,12130.0,0,0,0
2004-04-27,12150.0,12150.0,12055.0,12060.0,0,0,0
2004-04-28,12000.0,12000.0,11735.0,11735.0,0,0,0
2004-04-29,11785.0,11835.0,11630.0,11635.0,0,0,0
