Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-09-21,964.4000244140625,970.0999755859375,964.4000244140625,967.0,2,0,0
2015-09-22,946.0,954.7999877929688,946.0,954.7999877929688,1,0,0
2015-09-23,953.2000122070312,953.2000122070312,953.2000122070312,953.2000122070312,0,0,0
2015-09-24,948.2999877929688,948.2999877929688,948.2999877929688,948.2999877929688,0,0,0
2015-09-25,943.7999877929688,943.7999877929688,943.7999877929688,943.7999877929688,0,0,0
2015-09-28,916.5,916.5,916.5,916.5,0,0,0
2015-09-29,915.0,915.0,915.0,915.0,0,0,0
2015-09-30,932.4000244140625,932.4000244140625,932.4000244140625,932.4000244140625,0,0,0
2015-10-01,935.7000122070312,935.7000122070312,935.7000122070312,935.7000122070312,0,0,0
2015-10-02,949.5,949.5,949.5,949.5,0,0,0
2015-10-05,964.0999755859375,964.0999755859375,964.0999755859375,964.0999755859375,0,0,0
2015-10-06,956.5,956.5,956.5,956.5,0,0,0
2015-10-07,963.5,963.5,963.5,963.5,0,0,0
2015-10-08,970.0,970.0,970.0,970.0,0,0,0
2015-10-09,974.5,974.5,974.5,974.5,0,0,0
2015-10-12,976.5,976.5,976.5,976.5,0,0,0
2015-10-13,969.4000244140625,969.4000244140625,969.4000244140625,969.4000244140625,0,0,0
2015-10-14,964.0,964.0,964.0,964.0,0,0,0
2015-10-15,968.0999755859375,978.5,968.0999755859375,978.5,14,0,0
2015-10-16,982.0999755859375,982.0999755859375,982.0999755859375,982.0999755859375,0,0,0
2015-10-19,986.7999877929688,986.7999877929688,986.7999877929688,986.7999877929688,0,0,0
2015-10-20,982.2999877929688,985.7999877929688,981.4000244140625,981.4000244140625,10,0,0
2015-10-21,963.4000244140625,963.4000244140625,963.4000244140625,963.4000244140625,0,0,0
2015-10-22,997.2999877929688,997.2999877929688,997.2999877929688,997.2999877929688,0,0,0
2015-10-23,1003.7999877929688,1004.7999877929688,1003.7999877929688,1004.7999877929688,4,0,0
2015-10-26,1006.4000244140625,1006.4000244140625,1006.4000244140625,1006.4000244140625,0,0,0
2015-10-27,1005.7999877929688,1005.7999877929688,1005.7999877929688,1005.7999877929688,0,0,0
2015-10-28,1015.2999877929688,1015.9000244140625,1014.7999877929688,1015.9000244140625,9,0,0
2015-10-29,1013.0999755859375,1016.9000244140625,1013.0999755859375,1016.9000244140625,21,0,0
2015-10-30,1016.2000122070312,1018.9000244140625,1012.2999877929688,1012.5,25,0,0
2015-11-02,1017.5999755859375,1022.7000122070312,1017.4000244140625,1022.7000122070312,32,0,0
2015-11-03,1020.0,1024.199951171875,1019.5,1023.7999877929688,21,0,0
2015-11-04,1023.0999755859375,1023.0999755859375,1019.7000122070312,1021.2999877929688,12,0,0
2015-11-05,1018.4000244140625,1021.7000122070312,1018.4000244140625,1021.7000122070312,8,0,0
2015-11-06,1020.0,1021.2000122070312,1014.7999877929688,1020.7000122070312,20,0,0
2015-11-09,1015.5,1015.5,1007.2000122070312,1011.0999755859375,24,0,0
2015-11-10,1007.2999877929688,1012.5,1007.2999877929688,1012.5,16,0,0
2015-11-11,1008.7000122070312,1008.7000122070312,1008.7000122070312,1008.7000122070312,0,0,0
2015-11-12,1003.5,1005.7999877929688,996.4000244140625,996.4000244140625,26,0,0
2015-11-13,995.0,995.0,983.2000122070312,983.2000122070312,16,0,0
2015-11-16,987.2000122070312,995.5999755859375,987.2000122070312,995.5999755859375,10,0,0
