Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-10-22,112.453125,112.453125,112.453125,112.453125,0,0,0
2010-10-25,112.953125,113.0625,112.484375,112.578125,372,0,0
2010-10-26,112.5625,112.5625,111.734375,111.828125,1609,0,0
2010-10-27,111.390625,111.546875,110.96875,111.125,2753,0,0
2010-10-28,111.296875,111.75,111.140625,111.609375,2773,0,0
2010-10-29,111.84375,112.21875,111.609375,112.078125,3392,0,0
2010-11-01,112.234375,112.578125,111.828125,111.9375,2505,0,0
2010-11-02,111.859375,112.34375,111.8125,112.25,1327,0,0
2010-11-03,112.609375,112.953125,111.765625,112.046875,3114,0,0
2010-11-04,112.609375,113.59375,112.4375,113.3125,3338,0,0
2010-11-05,113.15625,113.34375,112.3125,112.859375,3338,0,0
2010-11-08,112.84375,113.046875,112.578125,112.625,1634,0,0
2010-11-09,112.9375,112.9375,112.453125,112.5,467,0,0
2010-11-10,110.453125,111.203125,109.9375,111.109375,2208,0,0
2010-11-11,111.171875,111.203125,111.171875,110.8125,3,0,0
2010-11-12,110.984375,111.125,109.8125,110.171875,2673,0,0
2010-11-15,110.0,110.0,108.296875,108.703125,2974,0,0
2010-11-16,108.859375,109.359375,108.21875,109.265625,2316,0,0
2010-11-17,109.125,109.71875,108.875,109.140625,2071,0,0
2010-11-18,108.734375,108.953125,108.25,108.75,1659,0,0
2010-11-19,109.015625,109.109375,108.765625,109.078125,1220,0,0
2010-11-22,109.1875,109.734375,109.15625,109.65625,1298,0,0
2010-11-23,110.09375,110.453125,109.859375,110.09375,851,0,0
2010-11-24,109.734375,109.734375,108.546875,108.75,1365,0,0
2010-11-26,109.15625,109.359375,109.03125,109.21875,208,0,0
2010-11-29,109.5625,109.703125,109.3125,109.59375,479,0,0
2010-11-30,109.9375,110.265625,109.640625,109.84375,1184,0,0
2010-12-01,108.953125,108.953125,108.125,108.328125,1467,0,0
2010-12-02,108.09375,108.46875,107.84375,107.96875,1257,0,0
2010-12-03,107.65625,108.8125,107.125,107.859375,1028,0,0
2010-12-06,108.265625,108.640625,108.1875,108.53125,1162,0,0
2010-12-07,108.0,108.0,106.421875,106.5,1574,0,0
2010-12-08,106.75,106.765625,105.046875,105.875,2077,0,0
2010-12-09,105.703125,106.34375,105.5,106.03125,1506,0,0
2010-12-10,106.3125,106.3125,105.109375,105.421875,891,0,0
2010-12-13,104.828125,105.75,104.65625,105.53125,1866,0,0
2010-12-14,105.578125,105.625,103.71875,104.03125,2006,0,0
2010-12-15,103.96875,104.53125,103.109375,103.453125,2386,0,0
2010-12-16,103.6875,104.234375,103.078125,103.875,1766,0,0
2010-12-17,104.21875,105.34375,104.21875,105.15625,1429,0,0
2010-12-20,105.46875,105.859375,104.859375,105.0,980,0,0
2010-12-21,105.46875,105.46875,104.78125,105.234375,576,0,0
2010-12-22,105.21875,105.40625,104.90625,105.0625,549,0,0
2010-12-23,104.953125,104.953125,104.59375,104.734375,104,0,0
2010-12-27,104.484375,105.25,104.484375,105.09375,34,0,0
2010-12-28,105.125,105.125,103.859375,103.96875,538,0,0
2010-12-29,104.015625,105.28125,103.953125,105.1875,381,0,0
2010-12-30,104.984375,105.0,104.65625,104.984375,54,0,0
2010-12-31,105.4375,105.4375,105.390625,105.5,12,0,0
2011-01-03,105.03125,105.46875,104.59375,105.21875,574,0,0
2011-01-04,105.34375,105.5625,105.0625,105.203125,1510,0,0
2011-01-05,105.65625,105.65625,103.921875,104.0,3200,0,0
2011-01-06,104.375,104.796875,104.21875,104.578125,649,0,0
2011-01-07,104.734375,105.703125,104.390625,105.4375,1401,0,0
2011-01-10,105.5625,105.828125,105.484375,105.609375,557,0,0
2011-01-11,105.46875,105.46875,105.0625,105.296875,416,0,0
2011-01-12,105.171875,105.25,104.671875,105.234375,670,0,0
2011-01-13,105.15625,105.71875,104.921875,105.671875,1069,0,0
2011-01-14,105.671875,106.078125,105.453125,105.484375,607,0,0
2011-01-18,105.765625,105.796875,104.734375,105.171875,1282,0,0
2011-01-19,105.15625,105.515625,104.984375,105.421875,498,0,0
2011-01-20,105.21875,105.234375,104.234375,104.375,1067,0,0
2011-01-21,104.75,104.875,104.3125,104.78125,351,0,0
2011-01-24,104.765625,105.0625,104.765625,104.859375,258,0,0
2011-01-25,105.171875,105.71875,104.734375,105.59375,1133,0,0
2011-01-26,105.15625,105.234375,104.578125,104.703125,700,0,0
2011-01-27,104.5625,105.109375,104.328125,105.078125,590,0,0
2011-01-28,104.796875,105.71875,104.5,105.59375,981,0,0
2011-01-31,105.265625,105.265625,105.0625,105.171875,92,0,0
2011-02-01,104.84375,104.9375,104.5625,104.640625,94,0,0
2011-02-02,104.859375,105.0,104.171875,104.21875,485,0,0
2011-02-03,104.140625,104.171875,103.671875,103.796875,190,0,0
2011-02-04,103.671875,103.671875,102.78125,102.90625,311,0,0
2011-02-07,102.78125,102.984375,102.59375,102.9375,176,0,0
2011-02-08,102.890625,102.921875,102.125,102.3125,636,0,0
2011-02-09,102.265625,102.546875,102.25,102.34375,195,0,0
2011-03-01,103.78125,104.296875,103.546875,104.203125,349,0,0
2011-03-02,104.09375,104.1875,103.671875,103.8125,142,0,0
2011-03-03,103.265625,103.3125,102.84375,102.875,168,0,0
2011-03-04,102.984375,103.6875,102.796875,103.609375,206,0,0
2011-03-07,103.1875,103.765625,103.09375,103.546875,85,0,0
2011-03-08,103.53125,103.53125,103.09375,103.171875,120,0,0
2011-03-09,103.28125,103.921875,103.21875,103.8125,48,0,0
2011-03-10,103.875,104.859375,103.875,104.484375,89,0,0
2011-03-11,104.765625,104.953125,104.546875,104.53125,76,0,0
2011-03-14,104.84375,105.03125,104.734375,104.921875,138,0,0
2011-03-15,105.453125,105.921875,105.15625,105.203125,32,0,0
2011-03-16,106.359375,106.4375,105.875,106.171875,76,0,0
2011-03-17,105.796875,105.921875,105.5625,105.84375,52,0,0
2011-03-18,105.703125,105.796875,105.203125,105.609375,241,0,0
2011-03-21,105.3125,105.390625,104.953125,105.25,128,0,0
2011-03-22,105.0625,105.15625,104.9375,105.15625,55,0,0
2011-03-23,105.578125,105.609375,105.0,105.03125,203,0,0
2011-03-24,104.703125,104.90625,104.484375,104.5625,78,0,0
2011-03-25,104.671875,104.734375,104.078125,104.21875,304,0,0
2011-03-28,103.984375,104.34375,103.984375,104.1875,49,0,0
2011-03-29,104.1875,104.21875,103.734375,103.84375,135,0,0
2011-03-30,103.84375,104.3125,103.84375,104.1875,167,0,0
2011-03-31,104.421875,104.515625,103.96875,104.21875,114,0,0
2011-04-01,103.734375,104.328125,103.734375,104.234375,464,0,0
2011-04-04,104.203125,104.609375,104.203125,104.4375,64,0,0
2011-04-05,104.6875,104.6875,103.890625,103.921875,128,0,0
2011-04-06,103.90625,103.953125,103.359375,103.46875,230,0,0
2011-04-07,103.53125,103.65625,103.25,103.390625,115,0,0
2011-04-08,103.203125,103.28125,102.984375,103.28125,207,0,0
2011-04-11,103.0,103.34375,103.0,103.296875,114,0,0
2011-04-12,103.609375,104.078125,103.609375,103.921875,162,0,0
2011-04-13,103.9375,104.3125,103.921875,104.234375,131,0,0
2011-04-14,104.4375,104.53125,103.90625,104.03125,153,0,0
2011-04-15,104.3125,104.8125,104.3125,104.703125,152,0,0
2011-04-18,104.96875,105.171875,104.421875,105.09375,345,0,0
2011-04-19,104.875,105.265625,104.875,105.21875,49,0,0
2011-04-20,105.03125,105.046875,104.765625,104.859375,70,0,0
2011-04-21,104.796875,105.109375,104.796875,104.890625,170,0,0
2011-04-25,105.0625,105.296875,105.046875,105.21875,34,0,0
2011-04-26,105.3125,105.734375,105.3125,105.609375,24,0,0
2011-04-27,105.390625,105.453125,105.15625,105.21875,161,0,0
2011-04-28,105.5625,105.78125,105.4375,105.671875,160,0,0
2011-04-29,105.59375,105.96875,105.546875,105.890625,81,0,0
2011-05-02,105.75,105.78125,105.75,105.953125,12,0,0
