Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-05-11,361.0,361.0,361.0,361.0,0,0,0
2007-05-14,358.0,358.0,358.0,358.0,1,0,0
2007-05-15,363.0,363.0,359.0,371.5,2,0,0
2007-05-16,370.0,376.0,370.0,376.0,2,0,0
2007-05-17,375.0,377.0,375.0,373.0,4,0,0
2007-05-18,371.25,371.25,371.25,371.25,0,0,0
2007-05-21,381.0,381.0,381.0,381.0,0,0,0
2007-05-22,380.0,380.0,376.75,369.5,2,0,0
2007-05-23,379.5,379.5,379.5,368.5,1,0,0
2007-05-24,376.5,376.5,376.5,376.5,0,0,0
2007-05-25,376.0,376.0,376.0,376.0,0,0,0
2007-05-29,364.75,364.75,364.75,364.75,0,0,0
2007-05-30,382.25,382.25,382.25,382.25,0,0,0
2007-05-31,382.0,382.0,382.0,390.25,6,0,0
2007-06-01,390.5,392.0,390.5,386.75,5,0,0
2007-06-04,383.75,383.75,383.75,383.75,0,0,0
2007-06-05,384.0,384.0,384.0,380.25,1,0,0
2007-06-06,387.0,387.0,387.0,374.75,1,0,0
2007-06-07,384.75,384.75,384.75,384.75,0,0,0
2007-06-08,385.0,387.0,385.0,382.0,4,0,0
2007-06-11,385.0,395.0,385.0,396.0,8,0,0
2007-06-12,393.5,393.5,393.5,393.5,0,0,0
2007-06-13,393.5,393.5,393.5,404.5,1,0,0
2007-06-14,406.0,408.0,406.0,409.5,10,0,0
2007-06-15,409.0,414.0,409.0,419.0,6,0,0
2007-06-18,418.0,428.0,418.0,416.0,9,0,0
2007-06-19,415.0,416.0,415.0,396.0,4,0,0
2007-06-20,394.25,394.25,394.25,394.25,0,0,0
2007-06-21,385.0,385.0,385.0,385.0,0,0,0
2007-06-22,367.5,367.5,367.5,367.5,0,0,0
2007-06-25,364.75,364.75,363.0,357.75,3,0,0
2007-06-26,357.75,360.25,355.0,356.5,6,0,0
2007-06-27,355.0,356.5,355.0,343.75,5,0,0
2007-06-28,343.5,343.5,343.5,339.5,1,0,0
2007-06-29,329.5,329.5,329.5,329.5,0,0,0
2007-07-02,330.5,330.5,330.5,330.5,0,0,0
