Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-05-11,483.0,483.0,483.0,483.0,0,0,0
2007-05-14,489.0,489.0,489.0,489.0,0,0,0
2007-05-15,502.0,502.0,502.0,502.0,0,0,0
2007-05-16,498.0,498.0,498.0,496.75,2,0,0
2007-05-17,485.5,485.5,485.5,485.5,0,0,0
2007-05-18,471.25,471.25,471.25,471.25,0,0,0
2007-05-21,471.0,471.0,471.0,479.5,2,0,0
2007-05-22,471.0,471.0,471.0,471.0,0,0,0
2007-05-23,476.5,476.5,476.5,476.5,0,0,0
2007-05-24,491.0,491.0,491.0,491.0,0,0,0
2007-05-25,501.0,501.0,501.0,501.0,0,0,0
2007-05-29,491.0,491.0,491.0,491.0,0,0,0
2007-05-30,510.75,510.75,510.75,510.75,0,0,0
2007-05-31,510.0,511.0,510.0,517.0,3,0,0
2007-06-01,520.75,520.75,520.75,520.75,0,0,0
2007-06-04,520.25,520.25,520.25,520.25,0,0,0
2007-06-05,527.25,527.25,527.25,527.25,0,0,0
2007-06-06,519.75,519.75,519.75,519.75,0,0,0
2007-06-07,524.5,524.5,524.5,524.5,0,0,0
2007-06-08,527.5,527.5,527.5,527.5,0,0,0
2007-06-11,530.0,535.0,530.0,556.0,7,0,0
2007-06-12,558.0,559.0,558.0,565.0,2,0,0
2007-06-13,589.5,589.5,589.5,589.5,0,0,0
2007-06-14,590.0,595.0,590.0,606.5,5,0,0
2007-06-15,606.0,606.5,606.0,606.5,7,0,0
2007-06-18,607.0,607.0,607.0,601.0,1,0,0
2007-06-19,581.0,581.0,581.0,581.0,0,0,0
2007-06-20,579.0,579.0,576.0,605.0,4,0,0
2007-06-21,606.0,606.0,606.0,606.0,0,0,0
2007-06-22,606.0,606.0,606.0,592.25,1,0,0
2007-06-25,587.5,587.5,587.5,589.5,1,0,0
2007-06-26,608.5,608.5,608.5,608.5,0,0,0
2007-06-27,606.0,606.0,606.0,606.0,0,0,0
2007-06-28,609.0,609.0,609.0,609.0,0,0,0
2007-06-29,582.0,582.0,582.0,582.0,0,0,0
2007-07-02,569.5,569.5,569.5,569.5,0,0,0
2007-07-03,571.5,571.5,571.5,571.5,0,0,0
2007-07-05,591.0,591.0,591.0,591.0,0,0,0
2007-07-06,600.5,600.5,600.5,600.5,0,0,0
2007-07-09,588.5,588.5,588.5,588.5,0,0,0
2007-07-10,592.0,592.0,592.0,592.0,0,0,0
2007-07-11,611.0,611.0,611.0,611.0,0,0,0
2007-07-12,611.5,611.5,611.5,611.5,0,0,0
2007-07-13,614.0,614.0,614.0,614.0,0,0,0
2007-07-16,601.75,601.75,601.75,601.75,0,0,0
2007-07-17,601.25,601.25,601.25,601.25,0,0,0
2007-07-18,623.5,623.5,623.5,623.5,0,0,0
2007-07-19,622.0,632.0,622.0,620.0,13,0,0
2007-07-20,616.25,616.25,616.25,616.25,0,0,0
2007-07-23,620.25,620.25,620.25,620.25,0,0,0
2007-07-24,620.0,630.0,620.0,642.0,3,0,0
2007-07-25,642.0,642.0,642.0,634.0,1,0,0
2007-07-26,651.0,651.0,651.0,651.0,0,0,0
2007-07-27,651.0,652.0,651.0,653.25,2,0,0
2007-07-30,637.5,637.5,637.5,637.5,0,0,0
2007-07-31,630.0,630.0,630.0,630.0,0,0,0
2007-08-01,633.0,633.0,633.0,636.0,1,0,0
2007-08-02,640.0,640.0,640.0,641.75,1,0,0
2007-08-03,650.0,650.0,650.0,650.0,0,0,0
2007-08-06,649.75,649.75,649.75,664.0,1,0,0
2007-08-07,664.0,670.0,664.0,662.5,3,0,0
2007-08-08,679.0,679.0,679.0,679.0,0,0,0
2007-08-09,673.5,673.5,673.5,673.5,0,0,0
2007-08-10,673.5,673.5,673.5,667.0,9,0,0
2007-08-13,666.5,666.5,666.5,666.5,0,0,0
2007-08-14,668.0,668.0,668.0,692.5,1,0,0
2007-08-15,689.0,695.0,689.0,678.5,2,0,0
2007-08-16,673.0,673.0,673.0,673.0,0,0,0
2007-08-17,672.0,672.0,672.0,672.0,0,0,0
2007-08-20,675.0,675.0,675.0,675.0,0,0,0
2007-08-21,691.5,691.5,691.5,691.5,0,0,0
2007-08-22,718.5,718.5,718.5,718.5,0,0,0
2007-08-23,722.5,722.5,722.5,722.5,0,0,0
2007-08-24,725.75,725.75,725.75,725.75,0,0,0
2007-08-27,730.0,730.0,730.0,722.25,1,0,0
2007-08-28,720.5,720.5,720.5,720.5,0,0,0
2007-08-29,742.0,742.0,742.0,742.0,0,0,0
2007-08-30,770.0,770.0,770.0,770.0,0,0,0
2007-08-31,767.0,767.0,767.0,767.0,0,0,0
2007-09-04,807.0,807.0,807.0,807.0,0,0,0
2007-09-05,842.5,842.5,842.5,842.5,0,0,0
2007-09-06,816.0,816.0,816.0,816.0,0,0,0
2007-09-07,840.0,840.0,840.0,840.0,0,0,0
2007-09-10,849.0,849.0,849.0,849.0,0,0,0
2007-09-11,871.0,871.0,871.0,871.0,0,0,0
2007-09-12,840.0,840.0,840.0,840.0,0,0,0
2007-09-13,825.5,825.5,825.5,825.5,0,0,0
2007-09-14,838.0,838.0,838.0,838.0,0,0,0
2007-09-17,845.0,845.0,845.0,875.0,1,0,0
2007-09-18,879.0,893.0,879.0,869.0,7,0,0
2007-09-19,865.0,865.0,865.0,845.0,1,0,0
2007-09-20,850.0,851.0,850.0,850.0,5,0,0
2007-09-21,874.0,874.0,874.0,874.0,0,0,0
2007-09-24,889.0,890.0,889.0,877.75,2,0,0
2007-09-25,887.25,887.25,887.25,887.25,0,0,0
2007-09-26,895.375,895.375,895.375,917.25,1,0,0
2007-09-27,933.5,933.5,933.5,933.0,1,0,0
2007-09-28,939.0,939.0,939.0,939.0,0,0,0
2007-10-01,945.0,945.0,944.0,952.5,5,0,0
2007-10-02,953.0,953.0,953.0,922.5,2,0,0
2007-10-03,918.0,918.0,900.25,927.0,11,0,0
2007-10-04,944.0,948.0,943.0,906.0,5,0,0
2007-10-05,905.0,905.0,903.0,890.0,2,0,0
2007-10-08,884.0,884.0,880.0,860.0,6,0,0
2007-10-09,850.0,860.0,840.0,845.5,18,0,0
2007-10-10,844.0,844.0,834.0,853.0,3,0,0
2007-10-11,855.25,855.25,855.25,883.0,2,0,0
2007-10-12,890.0,890.0,880.0,857.5,3,0,0
2007-10-15,869.0,869.0,869.0,833.5,1,0,0
2007-10-16,828.5,828.5,828.5,828.5,0,0,0
2007-10-17,830.0,832.0,830.0,820.5,2,0,0
2007-10-18,821.5,821.5,821.5,825.5,1,0,0
2007-10-19,855.5,855.5,855.5,855.5,0,0,0
