,symbol,name,sector,market_cap
3,Symbol,Company Name,Industry,Market Cap
4,A,Agilent Technologies,Life Sciences Tools & Services,37.71B
5,AA,Alcoa,Metals & Mining,11.67B
6,AAC,Ares Acquisition,Blank Check / SPAC,1.22B
7,AACG,ATA Creativity Global,Diversified Consumer Services,32.07M
8,AACI,Armada Acquisition I,Blank Check / SPAC,203.78M
9,AADI,Aadi Bioscience,Biotechnology,309.10M
10,AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,101.74M
11,AAL,American Airlines Group,Airlines,10.78B
12,AAMC,Altisource Asset Management,Real Estate Management & Development,20.84M
13,AAME,Atlantic American,Insurance,55.29M
14,AAN,The Aaron's Company,Specialty Retail,551.84M
15,AAOI,Applied Optoelectronics,Communications Equipment,63.01M
16,AAON,"AAON, Inc.",Building Products,2.72B
17,AAP,Advance Auto Parts,Specialty Retail,11.16B
18,AAPL,Apple,"Technology Hardware, Storage & Periph...","2,308.49B"
19,AAQC,Accelerate Acquisition,Blank Check / SPAC,487.50M
20,AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2.47B
21,AATC,Autoscope Technologies,Scientific & Technical Instruments,32.82M
22,AAU,Almaden Minerals,Metals & Mining,37.20M
23,AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,1.88B
24,AB,AllianceBernstein Holding,Capital Markets,4.07B
25,ABB,ABB Ltd,Electrical Equipment,60.27B
26,ABBV,AbbVie,Biotechnology,266.60B
27,ABC,AmerisourceBergen,Health Care Providers & Services,31.98B
28,ABCB,Ameris Bancorp,Banks,3.06B
29,ABCL,AbCellera Biologics,Biotechnology,2.21B
30,ABCM,Abcam,Biotechnology,3.41B
31,ABEO,Abeona Therapeutics,Biotechnology,23.26M
32,ABEV,Ambev,Beverages,45.73B
33,ABG,Asbury Automotive Group,Specialty Retail,3.68B
34,ABGI,ABG Acquisition I,Blank Check / SPAC,189.27M
35,ABIO,ARCA biopharma,Biotechnology,33.58M
36,ABM,ABM Industries,Commercial Services & Supplies,3.09B
37,ABMD,Abiomed,Health Care Equipment & Supplies,11.33B
